Date,Open,High,Low,Close,Volume,Adj Close
10/23/2015,125.400002,125.959999,125,125.739998,215200,125.739998
10/22/2015,124.730003,125.580002,124.449997,125.230003,271200,125.230003
10/21/2015,124.040001,124.849998,123.599998,123.699997,162900,123.699997
10/20/2015,122.68,122.900002,122.160004,122.209999,244100,122.209999
10/19/2015,123.349998,123.57,122.82,123.550003,164700,123.550003
10/16/2015,123.639999,124.150002,123.220001,123.959999,265200,123.959999
10/15/2015,121.739998,122.550003,121.25,122.440002,263300,122.440002
10/14/2015,121,121.309998,119.900002,120.050003,177400,120.050003
10/13/2015,121.489998,121.949997,120.860001,121.07,341400,121.07
10/12/2015,122.75,123.440002,122.589996,123.110001,314500,123.110001
10/9/2015,123.980003,124.589996,122.330002,122.599998,398800,122.599998
10/8/2015,122.779999,123.709999,122.110001,123.480003,254200,123.480003
10/7/2015,122.540001,123.190002,122.190002,122.709999,240700,122.709999
10/6/2015,120.919998,121.260002,120.370003,120.919998,350100,120.919998
10/5/2015,121.790001,122.910004,121.760002,122.32,338300,122.32
10/2/2015,119.309998,120.82,118.580002,120.730003,557000,120.730003
10/1/2015,118.489998,118.870003,117.230003,118.339996,278000,118.339996
9/30/2015,116.239998,117.400002,116.099998,117.279999,235100,117.279999
9/29/2015,113.980003,114.480003,113.160004,114.25,345800,114.25
9/28/2015,117.559998,117.57,114.730003,115.220001,311700,115.220001
9/25/2015,119.279999,119.989998,118.160004,118.510002,292400,118.510002
9/24/2015,117.519997,117.739998,116,117.550003,535800,117.550003
9/23/2015,117.309998,117.739998,116.610001,117.510002,231300,117.510002
9/22/2015,117.68,117.879997,116.010002,117.580002,372700,117.580002
9/21/2015,119.589996,120.019997,118.690002,119.43,173800,119.43
9/18/2015,119.370003,120.110001,118.709999,118.82,250300,118.82
9/17/2015,121.029999,122.82,120.870003,121.239998,243300,121.239998
9/16/2015,121.809998,122.330002,121.540001,122,439600,122
9/15/2015,119.059998,120.129997,118.690002,119.959999,442200,119.959999
9/14/2015,116.730003,117.059998,116,116.349998,351200,116.349998
9/11/2015,116.489998,117.099998,115.889999,117.099998,531200,117.099998
9/10/2015,118.959999,118.959999,117.400002,117.940002,612600,117.940002
9/9/2015,123.260002,123.410004,120.440002,120.620003,1331300,120.620003
9/8/2015,120.199997,121.339996,120.129997,121.239998,398400,121.239998
9/4/2015,116.68,116.900002,115.839996,116.5,262200,116.5
9/3/2015,120.190002,120.440002,119.339996,119.610001,352100,119.610001
9/2/2015,117.25,117.690002,116.209999,117.620003,266100,117.620003
9/1/2015,115.580002,115.93,114.080002,114.339996,426000,114.339996
8/31/2015,119.129997,119.260002,118.190002,118.379997,243000,118.379997
8/28/2015,121.019997,121.610001,120.330002,120.769997,285800,120.769997
8/27/2015,118.669998,119.879997,118.32,119.57,399600,119.57
8/26/2015,116.800003,117.949997,115.059998,117.839996,392600,117.839996
8/25/2015,117.709999,117.709999,113.370003,113.370003,561900,113.370003
8/24/2015,110.230003,116.050003,109.07,113.519997,1009000,113.519997
8/21/2015,122.099998,122.459999,118.910004,119.050003,504600,119.050003
8/20/2015,124.540001,124.540001,122.449997,122.5,531400,122.5
8/19/2015,126.389999,127.010002,125.669998,126.040001,286500,126.040001
8/18/2015,127.610001,128.070007,127.440002,127.870003,185400,127.870003
8/17/2015,127.5,127.989998,127.099998,127.870003,155700,127.870003
8/14/2015,127.790001,128.240005,127.580002,128.190002,130600,128.190002
8/13/2015,127.150002,128.149994,126.860001,127.790001,188700,127.790001
8/12/2015,127.290001,127.690002,126.029999,127.419998,768000,127.419998
8/11/2015,129.649994,129.649994,128.690002,129.009995,236100,129.009995
8/10/2015,130.5,131.429993,130.070007,131.089996,300900,131.089996
8/7/2015,129.860001,130,129.520004,129.949997,163900,129.949997
8/6/2015,128.960007,129.449997,128.649994,128.809998,278800,128.809998
8/5/2015,128.660004,128.979996,128.169998,128.309998,476500,128.309998
8/4/2015,131.369995,131.389999,128.380005,129.850006,504400,129.850006
8/3/2015,132.440002,133.389999,132,133.179993,315100,133.179993
7/31/2015,133.509995,133.710007,133.050003,133.460007,226200,133.460007
7/30/2015,132,132.429993,131.25,132.270004,270100,132.270004
7/29/2015,131.710007,132.839996,131.600006,132.570007,212500,132.570007
7/28/2015,131.080002,131.919998,130.369995,131.839996,382100,131.839996
7/27/2015,131.5,131.869995,131.210007,131.789993,187700,131.789993
7/24/2015,133.619995,133.889999,132.320007,132.550003,130200,132.550003
7/23/2015,133.690002,133.919998,133.080002,133.25,196100,133.25
7/22/2015,133.800003,134.429993,133.800003,133.990005,196400,133.990005
7/21/2015,134.910004,135.029999,134.149994,134.559998,200500,134.559998
7/20/2015,135.789993,136.110001,135.410004,135.539993,352500,135.539993
7/17/2015,134.699997,135.490005,134.699997,135.360001,186100,135.360001
7/16/2015,136.240005,136.389999,135.660004,135.770004,441200,135.770004
7/15/2015,134.070007,134.619995,133.789993,133.990005,294100,133.990005
7/14/2015,133.130005,133.699997,132.929993,133.449997,195300,133.449997
7/13/2015,133.020004,133.619995,133.020004,133.440002,214600,133.440002
7/10/2015,130.559998,131.869995,129.919998,131.520004,401900,131.520004
7/9/2015,130.160004,130.529999,128.929993,129.029999,186900,129.029999
7/8/2015,130.110001,130.139999,127.940002,128.110001,717300,128.110001
7/7/2015,132.259995,132.539993,130.75,132.380005,288600,132.380005
7/6/2015,132.25,133.100006,132.130005,132.729996,132000,132.729996
7/2/2015,132.720001,132.929993,132.429993,132.75,276800,132.75
7/1/2015,133.720001,133.839996,133.139999,133.600006,157100,133.600006
6/30/2015,134.220001,134.479996,133.550003,133.75,216300,133.75
6/29/2015,134.100006,134.130005,132.399994,132.449997,191100,132.449997
6/26/2015,135.339996,135.880005,135.149994,135.460007,138900,135.460007
6/25/2015,135.350006,135.509995,134.850006,134.869995,180800,134.869995
6/24/2015,136.009995,136.009995,135.330002,135.399994,149000,135.399994
6/23/2015,136.949997,137.25,136.789993,137.100006,270500,137.100006
6/22/2015,135.160004,136.350006,135.160004,135.479996,263100,135.479996
6/19/2015,134.479996,134.619995,133.940002,134.020004,179800,134.020004
6/18/2015,133.5,134.850006,133.5,134.479996,246300,134.479996
6/17/2015,134.309998,135.089996,133.75,134.869995,344900,134.869995
6/16/2015,135.699997,136.169998,135.509995,136.059998,179200,136.059998
6/15/2015,135.199997,135.830002,135.169998,135.509995,292700,135.509995
6/12/2015,135.449997,135.869995,135.089996,135.490005,191400,135.490005
6/11/2015,135.240005,135.509995,134.899994,135.179993,152600,135.179993
6/10/2015,133.839996,134.589996,133.729996,134.240005,166200,134.240005
6/9/2015,132.5,132.740005,131.919998,132.300003,233500,132.300003
6/8/2015,133.580002,133.899994,132.619995,133.149994,304900,133.149994
6/5/2015,135.990005,135.990005,135.259995,135.509995,167200,135.509995
6/4/2015,136.929993,137.529999,136.630005,136.850006,231000,136.850006
6/3/2015,137.509995,137.880005,137,137.440002,240300,137.440002
6/2/2015,136.740005,137.149994,136.470001,136.570007,275900,136.570007
6/1/2015,137.800003,137.979996,136.809998,137.240005,280100,137.240005
5/29/2015,138.740005,138.740005,137.509995,137.889999,310600,137.889999
5/28/2015,138.850006,139.960007,138.820007,139.740005,220000,139.740005
5/27/2015,138.720001,139,138.309998,138.770004,247000,138.770004
5/26/2015,138.470001,138.470001,137.139999,137.699997,293200,137.699997
5/22/2015,137.979996,138.660004,137.910004,138.220001,202800,138.220001
5/21/2015,138.779999,139.550003,138.779999,139.440002,134700,139.440002
5/20/2015,139.199997,139.649994,138.770004,139.009995,121000,139.009995
5/19/2015,139.850006,140.240005,139.279999,139.529999,223700,139.529999
5/18/2015,139.389999,139.490005,139.149994,139.429993,141300,139.429993
5/15/2015,138.649994,139.389999,138.649994,139.369995,177700,139.369995
5/14/2015,137.729996,137.990005,136.960007,137.949997,150400,137.949997
5/13/2015,137.350006,137.940002,136.520004,136.619995,359700,136.619995
5/12/2015,137.509995,138.050003,137,137.660004,579400,137.660004
5/11/2015,137.880005,138.360001,137.419998,137.449997,756700,137.449997
5/8/2015,139.5,142.339996,139.369995,142.119995,319400,142.119995
5/7/2015,136.860001,138.059998,136.839996,137.919998,208500,137.919998
5/6/2015,137.320007,137.990005,136.5,137.160004,322500,137.160004
5/5/2015,139.460007,139.800003,137.449997,137.550003,266100,137.550003
5/4/2015,139.789993,140.429993,139.580002,140.059998,172000,140.059998
5/1/2015,138.75,139.960007,138.720001,139.960007,247100,139.960007
4/30/2015,140,140.320007,138.710007,139.020004,246800,139.020004
4/29/2015,141.330002,142.470001,140.070007,140.789993,282900,140.789993
4/28/2015,142.179993,142.839996,141.600006,142.059998,421900,142.059998
4/27/2015,140.960007,141.25,140.550003,140.660004,273000,140.660004
